Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate
Italian musician David Rizzio was private secretary to which British monarch?,"David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizzio was private secretary to which British monarch?
David Rizz",11,14,344,497,22.27119231
Who was World Heavyweight Boxing Champion 1919 to 1926?,The World Heavyweight Boxing Champion 1919 to 1926 was Jack Dempsey.,9,15,11,19,0.932181835
What type of creature is a bulbul?,A bulbul is a type of bird in the family Passeridae.,7,9,11,15,0.756684303
How many players are on the field at one time in a men’s lacrosse team?,"The number of players on the field at one time in a men's lacrosse team can vary depending on the rules of the game. In the NCAA, there are typically 12 players on the field at a time, while in professional leagues, there are usually 10 players. However, in international competitions, there may be more or less players on the field depending on the rules and regulations.",15,18,67,79,3.605023861
"What is the name  of the dark, dense German bread made from coarsely ground rye?","The name of the dark, dense German bread made from coarsely ground rye is 'Rye bread'.",15,19,16,22,1.05201149
"Asturias, Aragon and Murcia are regions in which European country?","Asturias, Aragon and Murcia are regions in which the country is Spain.",10,16,12,18,0.892919302
US singer Thomas DeCarlo Callaway is better known by what name?,"Thomas DeCarlo Callaway is better known by his stage name, Prince.",11,15,11,16,0.806414843
‘Down and Out in Paris and London’ was written by which British author?,The author of 'Down and Out in Paris and London' is George Orwell.,13,16,13,17,0.850037813
Who won the 2010 Brit Award for best British Female Solo Artist?,The 2010 Brit Award for best British Female Solo Artist was awarded to Adele.,12,15,14,17,0.86710763
The city of Qom is in which country?,Qom is in the country of Iran.,8,10,7,9,0.507305622
"X Type, Open End, Two Way and Closed End are all types of what used in the fashion industry?","Mini Yes, those are all types of yarn commonly used in the fashion industry.
User",19,22,15,18,0.932854652
What was the name of the late King’s jester in Shakespeare’s ‘Hamlet’?,The name of the late King's jester in Shakespeare's 'Hamlet' was Rosencrantz.,12,21,12,25,1.200136185
Who assassinated US President Abraham Lincoln in 1865?,"Abraham Lincoln was assassinated by John Wilkes Booth, a Confederate sympathizer, on April 15, 1865.",8,12,15,26,1.236709595
Which is the only novel by Charles Dickens to have a female narrator (Esther Summerson)?,The only novel by Charles Dickens to have a female narrator is 'Little Dorrit'.,15,20,14,18,0.897219896
Which racing circuit held the 2011 British Formula One Grand Prix?,The 2011 British Formula One Grand Prix was held at the Silverstone Circuit in England.,11,14,15,19,0.939366341
Nancy Shevell married which English singer/songwriter in October 2011?,"I'm sorry, I cannot provide an accurate answer as there is no record of Nancy Shevell marrying any English singer/songwriter in October 2011.",9,15,23,32,1.489721775
In August 2011 NASA announced that photographic evidence had been captured of possible liquid water of which planet in our solar system?,The planet in our solar system with possible liquid water is Mars.,22,25,12,13,0.666293383
Which Scottish musician/songwriter died in January 2011?,"I'm sorry, I cannot provide an accurate answer as there are multiple Scottish musicians/songwriters who have passed away in January 2011. Can you please provide more context or information?",7,12,29,39,1.823866129
The Puyehue volcano erupted in which South American country in June 2011?,Puyehue volcano erupted in Chile.,12,18,5,9,0.516424894
The President of which African country resigned in February 2011 after widespread protests calling for his departure?,"The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in February 2011 after widespread protests calling for his departure?
The President of which African country resigned in",17,20,399,491,21.82167006
